car_name,carModele,CarPrice,Etat,Milieage,Tran,Annee,CarCar,CarPui,CarVen,technical_details,seats,Options,link
Chevrolet,Orlando,"€ 3 990,-5",Très bon prix,148 773 km,Boîte manuelle,07/2012,Diesel,120 kW (163 CH),Professionnel,7,5,120 kW (163 CH) Boîte manuelle 1 998 cm³ 6 4 1 655 kg ,https://www.autoscout24.be/fr/offres/chevrolet-orlando-2-0-tdci-ltz-navi-airco-pdc-diesel-gris-5a419a2c-6298-4b98-85f9-6acdc946bebd
BMW,318,"€ 3 990,-5",Très bon prix,207 348 km,Boîte manuelle,03/2010,Diesel,100 kW (136 CH),Professionnel,5,5,100 kW (136 CH) Boîte manuelle 1 995 cm³ 6 4 ,https://www.autoscout24.be/fr/offres/bmw-318-d-touring-man-gps-airco-export-diesel-noir-f42b47da-8a8b-4c8e-a1cc-e2bcb2c4d479
Peugeot,5008,"€ 4 500,-5",Très bon prix,221 000 km,Boîte manuelle,01/2016,Diesel,85 kW (116 CH),Professionnel,7,5,85 kW (116 CH) Boîte manuelle 1 560 cm³ 6 4 1 565 kg ,https://www.autoscout24.be/fr/offres/peugeot-5008-1-6-bluehdi-allure-diesel-noir-9d68e5be-2458-4518-915d-dc8aa1fe6284
Peugeot,208,"€ 4 950,-5",Très bon prix,118 431 km,Boîte manuelle,04/2018,Essence,50 kW (68 CH),Professionnel,5,5,50 kW (68 CH) Boîte manuelle 1 199 cm³ 5 3 1 035 kg ,https://www.autoscout24.be/fr/offres/peugeot-208-1-2i-puretech-access-essence-rouge-ee538c2c-2a94-4294-8e16-015a1e66a544
Volkswagen,Golf,"€ 5 999,-5",Très bon prix,133 000 km,Boîte manuelle,01/2010,Essence,59 kW (80 CH),Professionnel,5,3,59 kW (80 CH) Boîte manuelle 1 390 cm³ 5 4 1 142 kg ,https://www.autoscout24.be/fr/offres/volkswagen-golf-1-4i-apple-andriod-carplay-airco-benzine-essence-argent-72e924c4-3a20-4597-806f-d9a451a7b945
Land Rover,Discovery Sport,"€ 12 990,-1, 5",Pas d'information,131 860 km,Boîte automatique,02/2018,Diesel,110 kW (150 CH),Professionnel,5,5,110 kW (150 CH) Boîte automatique 1 999 cm³ 4 ,https://www.autoscout24.be/fr/offres/land-rover-discovery-sport-2-0d-awd-autom-export-gps-airco-diesel-noir-b6f984d2-59b4-47c7-822e-9dbfb6010fa4
Volvo,C30,"€ 2 250,-5",Très bon prix,185 414 km,Boîte manuelle,06/2007,Diesel,80 kW (109 CH),Professionnel,4,3,80 kW (109 CH) Boîte manuelle 1 560 cm³ 5 4 1 362 kg ,https://www.autoscout24.be/fr/offres/volvo-c30-1-6-turbo-d-diesel-rouge-28e77cb9-1cda-4381-a015-dcc09447d88f
Peugeot,Partner,"€ 1 950,-5",Pas d'information,131 000 km,Boîte manuelle,06/2004,Essence,80 kW (109 CH),Professionnel,5,5,80 kW (109 CH) Boîte manuelle 1 587 cm³ 5 4 1 260 kg ,https://www.autoscout24.be/fr/offres/peugeot-partner-1-6i-benzine-bj-2004-131000km-5-zitplaatsen-airco-essence-rouge-66044004-8b6f-4b72-aace-b74bfb15e962
BMW,218,"€ 7 450,-5",Très bon prix,259 000 km,Boîte automatique,05/2016,Diesel,110 kW (150 CH),Professionnel,5,5,110 kW (150 CH) Boîte automatique 1 995 cm³ 8 4 1 485 kg ,https://www.autoscout24.be/fr/offres/bmw-218-active-tourer-da-auto-euro-6-cuir-multimedia-diesel-gris-4c4e5193-c1bb-4ffb-a0a5-1042443271df
Citroen,C3 Picasso,"€ 3 000,-5",Très bon prix,187 223 km,Boîte manuelle,07/2013,Diesel,68 kW (92 CH),Professionnel,5,5,68 kW (92 CH) Boîte manuelle 1 560 cm³ 5 4 1 352 kg ,https://www.autoscout24.be/fr/offres/citroen-c3-picasso-1-6-hdi-export-uniquement-diesel-blanc-613b5416-1338-430b-b7c8-6c4ae82b7d3a
SEAT,Ibiza,"€ 4 450,-5",Très bon prix,123 000 km,Boîte manuelle,09/2014,Essence,51 kW (69 CH),Professionnel,5,3,51 kW (69 CH) Boîte manuelle 1 198 cm³ 5 3 1 049 kg ,https://www.autoscout24.be/fr/offres/seat-ibiza-sc-1-2i-style-jantes-clim-garantie-essence-gris-123f979d-184c-4e26-88d2-8bc2a9659215
BMW,318,"€ 10 950,-5",Très bon prix,199 428 km,Boîte automatique,04/2015,Diesel,100 kW (136 CH),Professionnel,5,5,100 kW (136 CH) Boîte automatique 1 995 cm³ 8 4 1 635 kg ,https://www.autoscout24.be/fr/offres/bmw-318-gran-turismo-diesel-136cv-boite-automatique-diesel-brun-8c8d1a7f-c163-45dc-8479-313ea87f96f7
Peugeot,508,"€ 5 950,-5",Bon prix,170 000 km,Boîte automatique,06/2012,Diesel,120 kW (163 CH),Professionnel,5,5,120 kW (163 CH) Boîte automatique 1 997 cm³ 6 4 1 710 kg ,https://www.autoscout24.be/fr/offres/peugeot-508-sw-2-0-hdi-allure-auto-toit-pano-cuir-head-up-diesel-gris-d45e5100-7b44-47a1-8e35-9254bfc7c1f5
BMW,216,"€ 9 999,-5",Pas d'information,110 000 km,Boîte manuelle,06/2016,Essence,75 kW (102 CH),Professionnel,7,5,75 kW (102 CH) Boîte manuelle 1 499 cm³ 6 3 1 475 kg ,https://www.autoscout24.be/fr/offres/bmw-216-gran-tourer-216i-7pl-1eig-export-handelaar-essence-noir-54e37655-6d69-4296-b81d-80c2f055b5c3
Hyundai,i30,"€ 7 500,-5",Bon prix,79 196 km,Boîte manuelle,04/2013,Essence,73 kW (99 CH),Professionnel,5,5,73 kW (99 CH) Boîte manuelle 1 396 cm³ 6 ,https://www.autoscout24.be/fr/offres/hyundai-i30-lounge-essence-gris-9b9c61e6-d918-4cc7-94cf-1ac449189330
Citroen,C3,"€ 10 250,-5",Très bon prix,19 599 km,Boîte manuelle,10/2022,Essence,61 kW (83 CH),Professionnel,5,5,61 kW (83 CH) Boîte manuelle 1 199 cm³ 5 3 980 kg ,https://www.autoscout24.be/fr/offres/citroen-c3-1-2i-puretech-you-s-essence-rouge-7a6c2a29-4e6f-4016-b6e6-162b32206bc4
Volkswagen,Caddy,"€ 3 999,-5",Pas d'information,294 121 km,Boîte manuelle,08/2014,Diesel,75 kW (102 CH),Professionnel,5,4,75 kW (102 CH) Boîte manuelle 1 598 cm³ 5 4 1 651 kg ,https://www.autoscout24.be/fr/offres/volkswagen-caddy-maxi-life-1-6-cr-tdi-startline-diesel-blanc-ddd66982-ad02-45cb-ae0e-525a8e16e7f2
BMW,525,"€ 6 800,-5",Très bon prix,265 700 km,Boîte automatique,01/2012,Diesel,155 kW (211 CH),Professionnel,5,5,155 kW (211 CH) Boîte automatique 1 995 cm³ 8 4 1 895 kg ,https://www.autoscout24.be/fr/offres/bmw-525-dxa-touring-s-s-navi-pro-pano-cuir-1er-main-diesel-bleu-ab23ef0e-89e1-40d2-a06a-a4e6fbc6fec4
Toyota,Yaris,"€ 1 950,-5",Très bon prix,226 890 km,Boîte manuelle,02/2006,Essence,51 kW (69 CH),Professionnel,5,3,51 kW (69 CH) Boîte manuelle 998 cm³ 5 3 1 035 kg ,https://www.autoscout24.be/fr/offres/toyota-yaris-1-0i-69pk-radio-cd-isofix-2-sleutels-essence-gris-5850c39e-0514-4164-9bac-69d35119a25e
BMW,318,"€ 3 990,-5",Très bon prix,207 348 km,Boîte manuelle,03/2010,Diesel,100 kW (136 CH),Professionnel,5,5,100 kW (136 CH) Boîte manuelle 1 995 cm³ 6 4 ,https://www.autoscout24.be/fr/offres/bmw-318-d-touring-man-gps-airco-export-diesel-noir-f42b47da-8a8b-4c8e-a1cc-e2bcb2c4d479
Opel,Zafira Tourer,"€ 4 950,-5",Très bon prix,168 000 km,Boîte manuelle,12/2015,Diesel,100 kW (136 CH),Professionnel,5,5,100 kW (136 CH) Boîte manuelle 1 598 cm³ 6 4 1 586 kg ,https://www.autoscout24.be/fr/offres/opel-zafira-tourer-1-6-cdti-ecoflex-euro-6-export-of-handelaar-diesel-gris-cb90061e-cc82-410a-b6e3-11d60064084e
Skoda,Superb,"€ 15 000,-1, 5",Très bon prix,113 000 km,Boîte automatique,12/2018,Diesel,88 kW (120 CH),Professionnel,5,5,88 kW (120 CH) Boîte automatique 1 598 cm³ 7 4 1 465 kg ,https://www.autoscout24.be/fr/offres/skoda-superb-style-leder-navigatie-camera-zetelverwarming-diesel-noir-d9fe7dd2-6d0b-49fb-8ecf-c6801e32a17c
Audi,TT,"€ 6 900,-5",Très bon prix,161 029 km,Boîte manuelle,01/2011,Essence,118 kW (160 CH),Professionnel,4,2,118 kW (160 CH) Boîte manuelle 1 798 cm³ 6 4 1 315 kg ,https://www.autoscout24.be/fr/offres/audi-tt-coupe-1-8-tfsi-probleme-moteur-essence-noir-5b64c6a3-0e5d-46b8-9fcf-76d5002968ad
Alfa Romeo,Giulia,"€ 21 750,-1, 5",Très bon prix,77 589 km,Boîte automatique,02/2020,Diesel,100 kW (136 CH),Professionnel,5,4,100 kW (136 CH) Boîte automatique 2 143 cm³ 8 4 1 465 kg ,https://www.autoscout24.be/fr/offres/alfa-romeo-giulia-2-2-mjd-super-8-trapsautomaat-leder-verwarmd-stuur-diesel-gris-80359f6c-320b-4fc0-83f8-124217dbb4d4
Volvo,V40,"€ 10 450,-5",Bon prix,120 902 km,Boîte manuelle,06/2016,Diesel,88 kW (120 CH),Professionnel,5,5,88 kW (120 CH) Boîte manuelle 1 969 cm³ 6 4 1 532 kg ,https://www.autoscout24.be/fr/offres/volvo-v40-2-0-d2-ocean-race-navigatie-leder-camera-pdc-alu-diesel-noir-25f4d819-d023-49ac-b2d0-90b755ce138b
Volkswagen,Touran,"€ 8 990,-5",Très bon prix,251 054 km,Boîte manuelle,06/2017,Diesel,85 kW (116 CH),Professionnel,7,5,85 kW (116 CH) Boîte manuelle 1 598 cm³ 6 4 1 539 kg ,https://www.autoscout24.be/fr/offres/volkswagen-touran-1-6-tdi-highline-carrosserie-probleme-diesel-gris-b1f985da-1c32-4392-8b7b-99116c7f9a5a
Volkswagen,Golf,"€ 8 500,-5",Prix correct,225 200 km,Boîte manuelle,07/2016,Diesel,81 kW (110 CH),Professionnel,5,5,81 kW (110 CH) Boîte manuelle 1 598 cm³ 5 4 1 299 kg ,https://www.autoscout24.be/fr/offres/volkswagen-golf-1-6-cr-tdi-r-line-navi-pro-acc-clim-auto-euro-6b-diesel-noir-58c456ff-6a37-4a96-abdb-e5aaa7f2d3c1
Kia,Venga,"€ 6 490,-5",Bon prix,65 000 km,Boîte manuelle,11/2012,Diesel,57 kW (77 CH),Professionnel,5,5,57 kW (77 CH) Boîte manuelle 1 396 cm³ 5 4 1 267 kg ,https://www.autoscout24.be/fr/offres/kia-venga-1-4-crdi-67000km-garantie-12mois-diesel-gris-c1a18238-18db-4583-972e-11380d8e70a2
Audi,Q5,"€ 27 995,-5",Très bon prix,108 480 km,50 km,12/2020,Electrique/Essence,221 kW (300 CH),Professionnel,5,5,221 kW (300 CH) Boîte automatique 1 984 cm³ 7 4 2 250 kg ,https://www.autoscout24.be/fr/offres/audi-q5-50-tfsi-e-quattro-e-hybrid-virtual-cockpit-electrique-essence-gris-8eaa1c85-2d0c-45d5-8e25-f0f331bd7118
Hyundai,KONA,"€ 16 490,-1, 5",Très bon prix,50 907 km,-,06/2020,Electrique/Essence,77 kW (105 CH),Professionnel,5,5,77 kW (105 CH) Boîte automatique 1 580 cm³ 6 ,https://www.autoscout24.be/fr/offres/hyundai-kona-1-6-gdi-hev-twist-dct-krell-navi-cam-carplay-lane-electrique-essence-gris-f5a52b13-a798-4936-bd0c-38643a016365
Kia,Sportage,"€ 6 950,-5",Bon prix,160 641 km,Boîte manuelle,10/2011,Diesel,85 kW (116 CH),Professionnel,5,5,85 kW (116 CH) Boîte manuelle 1 685 cm³ 6 4 1 415 kg ,https://www.autoscout24.be/fr/offres/kia-sportage-marchand-ou-export-1-7-crdi-cruise-control-diesel-gris-429ccdf8-3cee-4846-adfc-c4ec7ffdb65f
Hyundai,i20,"€ 6 500,-5",Bon prix,100 125 km,Boîte manuelle,01/2014,Essence,63 kW (86 CH),Professionnel,N/A,5,63 kW (86 CH) Boîte manuelle 1 248 cm³ 5 ,https://www.autoscout24.be/fr/offres/hyundai-i20-move-essence-blanc-a6b0c4c9-7e92-4aed-886e-2cde1bd28549
Volvo,V60,"€ 11 800,-5",Très bon prix,142 365 km,Boîte automatique,02/2014,Diesel,158 kW (215 CH),Professionnel,5,5,158 kW (215 CH) Boîte automatique 2 400 cm³ 6 5 1 954 kg ,https://www.autoscout24.be/fr/offres/volvo-v60-2-4-d6-4wd-phev-diesel-gris-21820f22-c1f4-49a2-885b-307d4fe5862d
BMW,116,"€ 8 900,-5",Prix correct,145 000 km,Boîte manuelle,11/2012,Essence,100 kW (136 CH),Professionnel,4,3,100 kW (136 CH) Boîte manuelle 1 598 cm³ 6 4 1 370 kg ,https://www.autoscout24.be/fr/offres/bmw-116-116i-benzine-top-staat-garantie-1-jaar-gekeurd-essence-noir-e5d3130c-9b3e-45eb-ad9b-49d7aa3cfd83
Opel,Adam,"€ 3 950,-5",Bon prix,182 900 km,Boîte manuelle,03/2013,Essence,51 kW (69 CH),Professionnel,4,3,51 kW (69 CH) Boîte manuelle 1 229 cm³ 5 4 1 086 kg ,https://www.autoscout24.be/fr/offres/opel-adam-1-2i-glam-essence-blanc-40a80a90-76d8-4def-821b-7baf729da0c2
Volkswagen,Golf,"€ 8 250,-5",Bon prix,220 000 km,Boîte automatique,05/2013,Essence,103 kW (140 CH),Professionnel,5,5,103 kW (140 CH) Boîte automatique 1 395 cm³ 7 4 1 290 kg ,https://www.autoscout24.be/fr/offres/volkswagen-golf-1-4-tsi-act-bluemotion-technology-dsg-highline-essence-noir-a87a8a5b-b9cd-4ee7-aa0d-91f968114ff5
Peugeot,3008,"€ 19 950,-1, 5",Très bon prix,73 436 km,Boîte automatique,11/2018,Diesel,130 kW (177 CH),Professionnel,5,5,130 kW (177 CH) Boîte automatique 1 997 cm³ 8 4 1 644 kg ,https://www.autoscout24.be/fr/offres/peugeot-3008-2-0-gt-line-sfeerlicht-pano-cam-190-pk-diesel-blanc-3ee682f8-1da7-4491-8361-740d6817c853
Peugeot,208,"€ 14 975,-1, 5",Très bon prix,0 km,Boîte manuelle,-,Essence,74 kW (101 CH),Professionnel,N/A,5,74 kW (101 CH) Boîte manuelle 1 199 cm³ 6 ,https://www.autoscout24.be/fr/offres/peugeot-208-style-salonactie-essence-jaune-0df1ea0e-130a-404b-976c-6df723d31b3a
Citroen,C3,"€ 14 990,-1, 5",Prix correct,0 km,Boîte manuelle,-,Essence,74 kW (101 CH),Professionnel,5,5,74 kW (101 CH) Boîte manuelle 1 199 cm³ 6 ,https://www.autoscout24.be/fr/offres/citroen-c3-you-1-2-turbo-100-man6-essence-bleu-fa1a5473-9664-4069-b234-f1d2a2b777a9
Peugeot,5008,"€ 4 500,-5",Très bon prix,221 000 km,Boîte manuelle,01/2016,Diesel,85 kW (116 CH),Professionnel,7,5,85 kW (116 CH) Boîte manuelle 1 560 cm³ 6 4 1 565 kg ,https://www.autoscout24.be/fr/offres/peugeot-5008-1-6-bluehdi-allure-diesel-noir-9d68e5be-2458-4518-915d-dc8aa1fe6284
Mazda,2,"€ 3 950,-5",Prix correct,65 055 km,Boîte manuelle,12/2007,Essence,59 kW (80 CH),Professionnel,5,5,59 kW (80 CH) Boîte manuelle 1 388 cm³ 5 4 1 125 kg ,https://www.autoscout24.be/fr/offres/mazda-2-1-4-16v-tsi-active-airco-euro-4-met-garantie-essence-rouge-d83929c0-24b4-472d-b826-40980fc5c8e0
Chevrolet,Orlando,"€ 3 990,-5",Très bon prix,148 773 km,Boîte manuelle,07/2012,Diesel,120 kW (163 CH),Professionnel,7,5,120 kW (163 CH) Boîte manuelle 1 998 cm³ 6 4 1 655 kg ,https://www.autoscout24.be/fr/offres/chevrolet-orlando-2-0-tdci-ltz-navi-airco-pdc-diesel-gris-5a419a2c-6298-4b98-85f9-6acdc946bebd
BMW,318,"€ 3 990,-5",Très bon prix,207 348 km,Boîte manuelle,03/2010,Diesel,100 kW (136 CH),Professionnel,5,5,100 kW (136 CH) Boîte manuelle 1 995 cm³ 6 4 ,https://www.autoscout24.be/fr/offres/bmw-318-d-touring-man-gps-airco-export-diesel-noir-f42b47da-8a8b-4c8e-a1cc-e2bcb2c4d479
